"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Minnesota"	"27"	"2005"	"2005"	"Saturday"	"7"	35	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2005"	"2005"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Sunday"	"1"	41	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Monday"	"2"	35	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Tuesday"	"3"	49	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Wednesday"	"4"	48	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Thursday"	"5"	30	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Friday"	"6"	40	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Saturday"	"7"	57	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2006"	"2006"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Sunday"	"1"	47	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Monday"	"2"	43	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Tuesday"	"3"	45	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Wednesday"	"4"	51	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Thursday"	"5"	37	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Friday"	"6"	51	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Saturday"	"7"	53	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2007"	"2007"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Sunday"	"1"	65	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Monday"	"2"	38	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Tuesday"	"3"	55	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Wednesday"	"4"	47	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Thursday"	"5"	51	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Friday"	"6"	54	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Saturday"	"7"	64	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2008"	"2008"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Sunday"	"1"	62	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Monday"	"2"	54	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Tuesday"	"3"	55	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Wednesday"	"4"	59	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Thursday"	"5"	68	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Friday"	"6"	55	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Saturday"	"7"	60	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2009"	"2009"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Sunday"	"1"	63	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Monday"	"2"	55	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Tuesday"	"3"	52	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Wednesday"	"4"	48	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Thursday"	"5"	56	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Friday"	"6"	63	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Saturday"	"7"	56	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2010"	"2010"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Sunday"	"1"	64	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Monday"	"2"	77	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Tuesday"	"3"	70	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Wednesday"	"4"	70	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Thursday"	"5"	74	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Friday"	"6"	71	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Saturday"	"7"	82	Not Applicable	Not Applicable
	"Minnesota"	"27"	"2011"	"2011"	"Unknown"	"9"	Suppressed	Not Applicable	Not Applicable
